ticker,date,open,high,low,close
FXS,2023-11-29,6.92812,7.13024,6.89274,6.95573
FXS,2023-11-30,6.9605,7.22967,6.79212,7.01357
FXS,2023-12-01,7.02209,7.85749,6.98152,7.59684
FXS,2023-12-02,7.67707,7.88771,7.43847,7.47754
FXS,2023-12-03,7.48334,8.279,7.3331,8.24477
FXS,2023-12-04,8.24357,9.00514,8.10442,8.51843
FXS,2023-12-05,8.53134,8.89418,8.4311,8.85706
FXS,2023-12-06,8.75655,8.84351,8.04347,8.153
FXS,2023-12-07,8.2109,9.31228,8.17774,8.90312
FXS,2023-12-08,8.90512,9.13519,8.8025,8.84392
FXS,2023-12-09,8.794,9.2715,8.72443,8.90451
FXS,2023-12-10,8.90361,9.57497,8.82859,9.01507
FXS,2023-12-11,9.01795,9.57541,8.41314,8.92459
FXS,2023-12-12,8.96878,9.02538,8.48376,8.59113
FXS,2023-12-13,8.60613,9.07371,8.27302,8.91355
FXS,2023-12-14,8.92395,9.36986,8.87126,9.20507
FXS,2023-12-15,9.20607,9.22568,8.57234,8.57857
FXS,2023-12-16,8.57536,8.94492,8.49628,8.80965
FXS,2023-12-17,8.81224,8.88269,8.5131,8.57975
FXS,2023-12-18,8.57875,8.59656,7.92928,8.48414
FXS,2023-12-19,8.49264,8.7331,8.10472,8.16263
FXS,2023-12-20,8.14554,8.70877,8.0519,8.20883
FXS,2023-12-21,8.20813,8.57803,8.03946,8.13935
FXS,2023-12-22,8.13535,9.28219,8.104,9.10198
FXS,2023-12-23,9.09597,9.1311,8.66734,8.79089
FXS,2023-12-24,8.79451,8.88869,8.461,8.52392
FXS,2023-12-25,8.52562,8.73215,8.44615,8.51627
FXS,2023-12-26,8.51689,8.73529,8.1913,8.56064
FXS,2023-12-27,8.56314,9.43418,8.28993,9.26394
FXS,2023-12-28,9.27882,9.82768,8.82688,9.19395
FXS,2023-12-29,9.19595,9.28487,8.8499,9.02911
FXS,2023-12-30,9.03261,9.28179,8.8518,8.93493
FXS,2023-12-31,8.93633,8.98522,8.57767,8.58047
FXS,2024-01-01,8.58685,9.02126,8.51355,9.01791
FXS,2024-01-02,9.02441,9.64212,8.97755,9.15869
